Token1,Token2,Protocol,PoolID,Rating,ROI
DAI,DAI,spark,c8a24fee-ec00-4f38-86c0-9f6daebc4225,1043944928160,8
USDC,USDC,morpho,325ad2d6-70b1-48d7-a557-c2c99a036f87,17996432850,5.81358
USDC,USDT,curve-finance,4f3f9753-a071-4524-a564-35372a76c78d,10078748120,12.69956
USDT,USDT,pancakeswap,8a922da8-ee3c-44c8-a6c0-68bed39089c2,9845188260,12.53687
USDC,USDC,aave,d9fa8e14-0447-4207-9ae8-7810199dfa1f,8166614472,13.11081
USDT,USDT,stargate,4bba2ff6-7723-47d1-8825-4a6d08626a1f,3044451383,17.63824
USDT,USDT,kamino,546b3c0c-138d-4190-b46b-efa1765f1dd3,625415189,13.89949
USDC,USDC,yearn,7d89af7a-24c9-4292-aa38-7c71b05fbd6d,199818170,20.38012
USDC,USDC,pangolin,9faf41e0-22d2-436c-9a72-f421c2e5f812,185882448,78.41901
USDC,USDC,convex-finance,59efd00b-0613-42fc-9799-7e43a9350a5d,67937597,40.52651